time, tics, freq
6.3675,0,0.002
6.3718,0,0.002
6.376,0,0.002
6.376,0,0.002
6.376,0,0.002
6.3802,1,0.002
6.3844,5,0.002
6.3844,5,0.002
6.3928,17,0.002
6.397,18,0.002
6.397,18,0.002
6.397,18,0.002
6.4012,21,0.002
6.4054,25,0.002
6.4054,25,0.002
6.4096,27,0.002
6.4138,27,0.002
6.418,30,0.002
6.418,30,0.002
6.4222,32,0.002
6.4265,36,0.002
6.4307,38,0.002
6.4349,41,0.002
6.4391,43,0.002
6.4517,47,0.002
6.4517,47,0.002
6.4577,49,0.002
6.4577,49,0.002
6.4661,56,0.002
6.4703,61,0.002
6.4745,63,0.002
6.478,65,0.002
6.478,65,0.002
6.4829,68,0.002
6.4871,70,0.002
6.4871,70,0.002
6.4955,73,0.002
6.4998,78,0.002
6.4998,78,0.002
6.5041,83,0.002
6.517,97,0.002
6.517,97,0.002
6.517,98,0.002
6.5297,113,0.002
6.534,119,0.002
6.534,119,0.002
6.5424,130,0.002
6.5424,130,0.002
6.5467,134,0.002
6.5467,134,0.002
6.5509,139,0.002
6.559,149,0.002
6.5679,159,0.002
6.5679,159,0.002
6.5764,169,0.002
6.5934,187,0.002
6.6061,202,0.002
6.6061,202,0.002
6.6145,208,0.002
6.6145,208,0.002
6.623,221,0.002
6.6315,230,0.002
6.6357,234,0.002
6.6442,244,0.002
6.6442,244,0.002
6.6527,253,0.002
6.6611,262,0.002
6.6654,267,0.002
6.6696,272,0.002
6.6781,281,0.002
6.6823,286,0.002
6.7204,330,0.002
6.7204,330,0.002
6.728,338,0.002
6.728,339,0.002
6.7374,349,0.002
6.7458,358,0.002
6.7458,358,0.002
6.75,363,0.002
6.75,364,0.002
6.75,364,0.002
6.75,364,0.002
6.7543,368,0.002
6.758,372,0.002
6.758,372,0.002
6.7628,377,0.002
6.767,382,0.002
6.767,382,0.002
6.767,383,0.002
6.7755,390,0.002
6.7755,390,0.002
6.8094,427,0.002
6.8348,460,0.002
6.8348,460,0.002
6.839,465,0.002
6.839,466,0.002
6.8433,470,0.002
6.8433,470,0.002
6.8518,481,0.002
6.8518,481,0.002
6.8687,502,0.002
6.873,508,0.002
6.885,523,0.002
6.9,541,0.002
6.9,542,0.002
6.9,543,0.002
6.919,566,0.002
6.919,566,0.002
6.9281,577,0.002
6.9492,603,0.002
6.9831,645,0.002
6.9831,645,0.002
6.9916,656,0.002
7.0213,692,0.002
7.0298,703,0.002
7.0383,711,0.002
7.051,725,0.002
7.051,725,0.002
7.0552,730,0.002
7.068,746,0.002
7.08,760,0.002
7.08,760,0.002
7.08,761,0.002
7.0849,765,0.002
7.0892,770,0.002
7.0892,770,0.002
7.1316,820,0.002
7.1316,820,0.002
7.1867,887,0.002
7.208,912,0.002
7.208,913,0.002
7.2207,929,0.002
7.2207,929,0.002
7.2249,934,0.002
7.2292,939,0.002
7.2334,944,0.002
7.2461,959,0.002
7.2503,964,0.002
7.2503,964,0.002
7.2546,969,0.002
7.2546,969,0.002
7.2588,974,0.002
7.263121,979,0.002
7.2758,995,0.002
7.2801,999,0.002
7.284,1004,0.002
7.284,1004,0.002
7.2886,1009,0.002
7.2928,1015,0.002
7.297,1020,0.002
7.297,1020,0.002
7.297,1021,0.002
7.3055,1030,0.002
7.314,1041,0.002
7.3182,1044,0.002
7.3182,1044,0.002
7.3225,1049,0.002
